date,revenue
2021-01-31,45000
2021-02-28,48000
2021-03-31,52000
2021-04-30,44000
2021-05-31,46000
2021-06-30,48000
2021-07-31,50000
2021-08-31,52000
2021-09-30,54000
2021-10-31,56000
2021-11-30,58000
2021-12-31,60000
2022-01-31,62000
2022-02-28,64000
2022-03-31,66000
2022-04-30,50000
2022-05-31,52000
2022-06-30,54000
2022-07-31,56000
2022-08-31,58000
2022-09-30,60000
2022-10-31,62000
2022-11-30,64000
2022-12-31,66000
2023-01-31,68000
2023-02-28,70000
2023-03-31,72000
2023-04-30,60000
2023-05-31,62000
2023-06-30,64000
2023-07-31,66000
2023-08-31,68000
2023-09-30,70000
2023-10-31,72000
2023-11-30,74000
2023-12-31,76000
2024-01-31,50000
2024-02-28,55000
2024-03-31,60000
2024-04-30,52000
2024-05-31,54000
2024-06-30,56000
2024-07-31,58000
2024-08-31,60000
2024-09-30,62000
2024-10-31,64000
2024-11-30,66000
2024-12-31,50000
